"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,88.3275224852147,178.949521071035,271.988389019339,367.576581732318,465.857750870187,566.98804289831,671.137591527873,778.492239864,889.255536038673,1003.65105615957,1121.92512118825,1244.34999073419,1371.22763789189,1502.89423677647,1639.72553058683,1782.14329602357,1930.62318424577,2085.70430581913,2248.00104689376,2418.21777045083,2597.16729152186,2785.79435218315,2985.20581334914,3196.71001031483,3421.8688266104,3662.56776118502,3921.1120072273,4200.3610664744,4503.92207626996,4836.43554090166,5204.01212263398,5614.92778076566,6080.78553163585,6618.57883692523,7254.65331135249,8033.14555121649,9036.79660737606,10451.3633216673,12869.5810921181
"2",0,87.7887575225803,177.85799569683,270.329361231352,365.334501599759,463.016192240684,563.529627184257,667.043902389445,773.743727387703,883.831408743283,997.529158832947,1115.0817961522,1236.75991962839,1362.86366043271,1493.72714214347,1629.72381606614,1771.27288622065,1918.84710247131,2072.98228701034,2234.28907846133,2403.46754345384,2581.32553915067,2768.8020450536,2966.9971706381,3177.21127084154,3400.99670228679,3640.22746308223,3897.19468559731,4174.74042967449,4476.44983046418,4806.93508690768,5172.26958850744,5580.67881429538,6043.69500653607,6578.20797312833,7210.40263036152,7984.14635774922,8981.67551658217,10387.6139012031,12791.0814446569
"3",0,85.2894867236934,172.794530766491,262.633315659304,354.933740984832,449.834517487156,547.486420955179,648.053733330625,751.71590562266,858.669484900779,969.130357345545,1083.3363716794,1201.55042310982,1324.06409833038,1451.20200870707,1583.32697370626,1720.84626296821,1864.21916757313,2013.966255314,2170.68078045536,2335.04287932892,2507.83741009541,2689.97662031375,2882.5293002841,3086.75878495158,3304.17323667446,3536.59330243873,3786.24488803599,4055.88914229712,4349.00913464292,4670.08575865784,5025.01949964267,5421.8016642805,5871.63618176765,6390.93202162604,7005.12863798675,7756.84454360942,8725.97490095496,10091.8874229383,12426.9303022672
"4",0,91.3056954731099,184.983230778446,281.159125958486,379.970302465075,481.565255516606,586.105396428768,693.766595376407,804.740961607975,919.238906365968,1037.49154415953,1159.75350124865,1286.30621712458,1417.46184662461,1553.56789877554,1695.01278585399,1842.23250576751,1995.71874738791,2156.02879867884,2323.79776128411,2499.75374746196,2684.73697824041,2879.72404992704,3085.85914389073,3304.49470906994,3537.2452916215,3786.05996458655,4053.32164623751,4341.98625322947,4655.7825461408,4999.50749492393,5379.477797389,5804.2484565319,6285.81371204851,6841.74000069143,7499.26124238589,8304.00220399387,9341.4937481534,10803.7559514558,13303.5096989178
"5",0,89.2853268632312,180.890010625177,274.937771753537,371.562501967978,470.90941065597,573.13633750107,678.415261107301,786.934039821861,898.898429008255,1014.53442918469,1134.09103236345,1257.84345047783,1386.09693115266,1519.1912939018,1657.50635640139,1801.46846900655,1951.55844073369,2108.32122814587,2272.37787966252,2444.44039622325,2625.33040684843,2816.00289819123,3017.57673372432,3231.37443604512,3458.97482540794,3702.28384670109,3963.63169012506,4245.9088652298,4552.76162436912,4888.88079244651,5260.44329441449,5675.81483226837,6146.72424292434,6690.34926145306,7333.32118866976,8120.25522849162,9134.78965767631,10564.6956247149,13009.1360209381
"6",0,87.8486202962064,177.979276293964,270.51369765224,365.583621614488,463.331920977295,563.91389559693,667.498756738159,774.27133988507,884.434089553882,998.209369647017,1115.84216560065,1237.60326086237,1363.7929912615,1494.74570821381,1630.83511767955,1772.48070953209,1920.1555560018,2074.39584465576,2235.81263050938,2405.10645756462,2583.08573385858,2770.6900791791,2969.02035316155,3179.37779744969,3403.31582721163,3642.70971842698,3899.85216577842,4177.5871670967,4479.50230222037,4810.21291512923,5175.79653674372,5584.4842550143,6047.8161759916,6582.69362466132,7215.31937269385,7989.59071257892,8987.80008222594,10394.6971701435,12799.8036277082
"7",0,85.7384575258886,173.704135244995,264.015838815959,356.802141095298,452.202483011742,550.368434050223,651.465140945982,755.672999352907,863.189590980271,974.231938451067,1089.03914254278,1207.87548236465,1331.03407954636,1458.84125423456,1591.66173580684,1729.90493780397,1874.03256905185,2024.56793765466,2182.10742081572,2347.33473515974,2521.03887040474,2704.13687625504,2897.70316920997,3103.00773451265,3321.56667361081,3555.21021752439,3806.17598939431,4077.23967296372,4371.9026728144,4694.66947031949,5051.47161141478,5450.34246967239,5902.54495268413,6424.57440812346,7042.00420547923,7797.67720483214,8771.9091432832,10145.0119399919,12492.3466751516
"8",0,83.0296670193106,168.216188224687,255.674615770805,345.529460428821,437.915757680074,532.980288376791,630.882981666662,731.798533847081,835.91828430067,943.452399114421,1054.63242500041,1169.71429152716,1288.98185954324,1412.75113955199,1541.37533780002,1675.2509329615,1814.82504679693,1960.60445419934,2113.16669064158,2273.1738716471,2441.39005987179,2618.70333207592,2806.15416002389,3004.97240549418,3216.62627076152,3442.88816317426,3685.9250111991,3948.4248046086,4233.77832584645,4546.34774329421,4891.87720372303,5278.14627714129,5716.06203482136,6221.59867625571,6819.52161494131,7551.32014878839,8494.77254790281,9824.49402043549,12097.6678920826
"9",0,85.2146582566608,172.642930020074,262.402895133195,354.622340966421,449.439856566392,547.006085439339,647.485165394732,751.056390000952,857.91613388753,968.280093827958,1082.38590986884,1200.49624656734,1322.90243479438,1449.92880111915,1581.9378466895,1719.33648382891,1862.58360066001,2012.19930825722,2168.7763403953,2332.99423669045,2505.63716671052,2687.61657765687,2880.00032212979,3084.0506266914,3301.27433051841,3533.49048325779,3782.9230378096,4052.33072051936,4345.19354494767,4665.98847338089,5020.61081434732,5417.04486338185,5866.48471994824,6385.32495720981,6998.98271007134,7750.0391000723,8718.31919390026,10083.0333367627,12416.0275734532
"10",0,87.4894436544502,177.251592711161,269.407679126916,364.088901526115,461.437548557627,561.608285120895,664.769630645874,771.105664900872,880.818004690288,994.1281047626,1111.27994890995,1232.5432134585,1358.21700628871,1488.63431179181,1624.16730799909,1765.23376966347,1912.30483481883,2065.91449878323,2226.6713182211,2395.27297289996,2572.52456561112,2759.36187442607,2956.88125802085,3166.37863780083,3389.40107766256,3627.81618635846,3883.90728469177,4160.50674256343,4461.18747168319,4790.54594579991,5154.63484732603,5561.65161070079,6023.08915925841,6555.77971546339,7185.81891869987,7956.92458360074,8951.05268836335,10352.1975565007,12747.4705294007
