"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1.96012448681998,1.96873542895539,1.96768396553073,1.97254670647486,1.98549348834178,1.96200531370961,1.97134639390132,1.96639413726972,1.964548597543,1.95758320729896
"2",0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0
