,index,binned,distance,position
91746,72,,0.40953755,72727272.727
91747,73,,0.40341252,73737373.737
91748,74,,0.4181082,74747474.747
91749,75,,0.42514235,75757575.758
91750,76,,0.42391694,76767676.768
91751,77,,0.42375985,77777777.778
91752,78,,0.42554113,78787878.788
91753,79,,0.4089393,79797979.798
91754,80,,0.4205009,80808080.808
91755,81,,0.42133906,81818181.818
91756,82,,0.4073709,82828282.828
91757,83,,0.40808603,83838383.838
91758,84,,0.40213662,84848484.848
91759,85,,0.39000562,85858585.859
91760,86,,0.4211247,86868686.869
91761,87,,0.42132893,87878787.879
91762,88,,0.43633315,88888888.889
91763,89,,0.39830455,89898989.899
91764,90,,0.39603648,90909090.909
91765,91,,0.4167506,91919191.919
91766,92,,0.44767705,92929292.929
91767,93,,0.44366387,93939393.939
91768,94,,0.40616223,94949494.949
91769,95,,0.4184727,95959595.96
91770,96,,0.5246463,96969696.97
91771,97,,0.59127754,97979797.98
91772,98,,0.69262886,98989898.99
91773,0,,0.6498933,0.0
91774,1,,0.48893735,1010101.01
91775,2,,0.45276728,2020202.02
91776,3,,0.4626745,3030303.03
91777,4,,0.44852537,4040404.04
91778,5,,0.40872896,5050505.051
91779,6,,0.40181065,6060606.061
91780,7,,0.4152465,7070707.071
91781,8,,0.42070004,8080808.081
91782,9,,0.4130394,9090909.091
91783,10,,0.4099576,10101010.101
91784,11,,0.4415896,11111111.111
91785,12,,0.4254886,12121212.121
91786,13,,0.39460108,13131313.131
