,index,binned,distance,position
3121,52,,0.13377321,2626262.626
3122,53,,0.1320422,2676767.677
3123,54,,0.12737349,2727272.727
3124,55,,0.12499147,2777777.778
3125,56,,0.12450984,2828282.828
3126,57,,0.120177485,2878787.879
3127,58,,0.120850556,2929292.929
3128,59,,0.11614749,2979797.98
3129,60,,0.119670965,3030303.03
3130,61,,0.121956386,3080808.081
3131,62,,0.121233284,3131313.131
3132,63,,0.12011974,3181818.182
3133,64,,0.11781019,3232323.232
3134,65,,0.11899386,3282828.283
3135,66,,0.11568197,3333333.333
3136,67,,0.11439632,3383838.384
3137,68,,0.11744076,3434343.434
3138,69,,0.11918853,3484848.485
3139,70,,0.12343191,3535353.535
3140,71,,0.122779615,3585858.586
3141,72,,0.1272448,3636363.636
3142,73,,0.13592894,3686868.687
3143,74,,0.13244644,3737373.737
3144,75,,0.1320686,3787878.788
3145,76,,0.13440587,3838383.838
3146,77,,0.13507178,3888888.889
3147,78,,0.13560575,3939393.939
3148,79,,0.12747385,3989898.99
3149,80,,0.13645418,4040404.04
3150,81,,0.13783404,4090909.091
3151,82,,0.1409336,4141414.141
3152,83,,0.12583937,4191919.192
3153,84,,0.117015556,4242424.242
3154,85,,0.11287606,4292929.293
3155,86,,0.11757141,4343434.343
3156,87,,0.10622309,4393939.394
3157,88,,0.11173861,4444444.444
3158,89,,0.112276725,4494949.495
3159,90,,0.11305702,4545454.545
3160,91,,0.11036337,4595959.596
3161,92,,0.09251813,4646464.646
3162,93,,0.09244712,4696969.697
3163,94,,0.09282276,4747474.747
3164,95,,0.08231629,4797979.798
3165,96,,0.073428825,4848484.848
3166,97,,0.07187218,4898989.899
3167,98,,0.058851253,4949494.949
3168,0,,0.22902428,0.0
3169,1,,0.19183049,50505.051
3170,2,,0.17232585,101010.101
3171,3,,0.15977268,151515.152
3172,4,,0.15173775,202020.202
3173,5,,0.14813341,252525.253
3174,6,,0.13821803,303030.303
3175,7,,0.15090373,353535.354
3176,8,,0.1432759,404040.404
3177,9,,0.14686704,454545.455
3178,10,,0.1341725,505050.505
3179,11,,0.13486372,555555.556
3180,12,,0.12675713,606060.606
3181,13,,0.12296144,656565.657
3182,14,,0.12075728,707070.707
3183,15,,0.122031234,757575.758
3184,16,,0.12516284,808080.808
3185,17,,0.12052459,858585.859
3186,18,,0.118438564,909090.909
3187,19,,0.1194664,959595.96
3188,20,,0.116517596,1010101.01
3189,21,,0.12564375,1060606.061
3190,22,,0.1255216,1111111.111
