,Unnamed: 0,index,binned,distance,position
177,177,2,,0.34180477,5714.286
178,178,3,,0.33694524,8571.429
179,179,4,,0.33125108,11428.571
180,180,5,,0.32367408,14285.714
181,181,6,,0.31310144,17142.857
182,182,7,,0.31249872,20000.0
183,183,8,,0.30097947,22857.143
184,184,9,,0.28480202,25714.286
185,185,10,,0.2854651,28571.429
186,186,11,,0.27994972,31428.571
187,187,12,,0.26619992,34285.714
188,188,13,,0.26886815,37142.857
189,189,14,,0.26001534,40000.0
190,190,15,,0.25336882,42857.143
191,191,16,,0.25494155,45714.286
192,192,17,,0.24552822,48571.429
193,193,18,,0.25130463,51428.571
194,194,19,,0.24670535,54285.714
195,195,20,,0.23765202,57142.857
196,196,21,,0.23035175,60000.0
197,197,22,,0.21961604,62857.143
198,198,23,,0.21421432,65714.286
199,199,24,,0.21275239,68571.429
200,200,25,,0.2109267,71428.571
201,201,26,,0.20454279,74285.714
202,202,27,,0.19376273,77142.857
203,203,28,,0.18612914,80000.0
204,204,29,,0.18953484,82857.143
205,205,30,,0.17698605,85714.286
206,206,31,,0.173114,88571.429
207,207,32,,0.1774959,91428.571
208,208,33,,0.17132291,94285.714
209,209,34,,0.16858858,97142.857
210,210,35,,0.1668652,100000.0
211,211,36,,0.17185993,102857.143
212,212,37,,0.17436202,105714.286
213,213,38,,0.16424294,108571.429
214,214,39,,0.16221784,111428.571
215,215,40,,0.16194281,114285.714
216,216,41,,0.15863,117142.857
217,217,42,,0.16221973,120000.0
218,218,43,,0.15805227,122857.143
219,219,44,,0.15253858,125714.286
220,220,45,,0.15864468,128571.429
221,221,46,,0.15768325,131428.571
222,222,47,,0.16826288,134285.714
223,223,48,,0.16635959,137142.857
224,224,49,,0.16661012,140000.0
225,225,50,,0.16133054,142857.143
226,226,51,,0.1659165,145714.286
227,227,52,,0.16222884,148571.429
228,228,53,,0.16146773,151428.571
229,229,54,,0.16035517,154285.714
230,230,55,,0.15928169,157142.857
231,231,56,,0.15804248,160000.0
232,232,57,,0.16199687,162857.143
233,233,58,,0.1492003,165714.286
234,234,59,,0.15497014,168571.429
235,235,60,,0.1502848,171428.571
236,236,61,,0.14145744,174285.714
237,237,62,,0.15036151,177142.857
238,238,63,,0.13834372,180000.0
239,239,64,,0.14275955,182857.143
240,240,65,,0.1456299,185714.286
241,241,66,,0.1422702,188571.429
242,242,67,,0.1512473,191428.571
243,243,68,,0.14487836,194285.714
244,244,69,,0.13559219,197142.857
245,245,70,,0.1377763,200000.0
246,246,71,,0.14088725,202857.143
247,247,72,,0.14094606,205714.286
248,248,73,,0.13498594,208571.429
249,249,74,,0.13230093,211428.571
250,250,75,,0.136474,214285.714
251,251,76,,0.13322173,217142.857
252,252,77,,0.12797837,220000.0
253,253,78,,0.13163437,222857.143
254,254,79,,0.13058208,225714.286
255,255,80,,0.12856656,228571.429
256,256,81,,0.12809603,231428.571
257,257,82,,0.12799759,234285.714
258,258,83,,0.13836302,237142.857
259,259,84,,0.1327911,240000.0
260,260,85,,0.14352585,242857.143
261,261,86,,0.13335025,245714.286
262,262,87,,0.13237984,248571.429
263,263,88,,0.12989092,251428.571
264,264,89,,0.12765005,254285.714
265,265,90,,0.13648519,257142.857
266,266,91,,0.14053163,260000.0
267,267,92,,0.13999325,262857.143
268,268,93,,0.14457054,265714.286
269,269,94,,0.14645842,268571.429
