,index,binned,distance,position
971,14,,0.14456196,80459.77
972,15,,0.14896627,86206.897
973,16,,0.15140077,91954.023
974,17,,0.15743212,97701.149
975,18,,0.15423349,103448.276
976,19,,0.15274003,109195.402
977,20,,0.1536429,114942.529
978,21,,0.15701966,120689.655
979,22,,0.15210605,126436.782
980,23,,0.14467758,132183.908
981,24,,0.14214805,137931.034
982,25,,0.13942148,143678.161
983,26,,0.13770652,149425.287
984,27,,0.1360953,155172.414
985,28,,0.13641337,160919.54
986,29,,0.1322013,166666.667
987,30,,0.13687666,172413.793
988,31,,0.13444701,178160.92
989,32,,0.1338992,183908.046
990,33,,0.13503012,189655.172
991,34,,0.13796674,195402.299
992,35,,0.13416512,201149.425
993,36,,0.12833804,206896.552
994,37,,0.1204379,212643.678
995,38,,0.12120483,218390.805
996,39,,0.11723109,224137.931
997,40,,0.116424285,229885.057
998,41,,0.11585921,235632.184
999,42,,0.114562616,241379.31
1000,43,,0.115375124,247126.437
1001,44,,0.11928762,252873.563
1002,45,,0.11500291,258620.69
1003,46,,0.116791196,264367.816
1004,47,,0.11800709,270114.943
1005,48,,0.115735404,275862.069
1006,49,,0.11964598,281609.195
1007,50,,0.115574546,287356.322
1008,51,,0.1135599,293103.448
1009,52,,0.11611874,298850.575
1010,53,,0.10844151,304597.701
1011,54,,0.110652275,310344.828
1012,55,,0.1161961,316091.954
1013,56,,0.11349929,321839.08
1014,57,,0.11633313,327586.207
1015,58,,0.12001266,333333.333
1016,59,,0.11218142,339080.46
1017,60,,0.11387504,344827.586
1018,61,,0.12027516,350574.713
1019,62,,0.1226133,356321.839
1020,63,,0.11826162,362068.966
1021,64,,0.115148105,367816.092
1022,65,,0.11606412,373563.218
1023,66,,0.12246089,379310.345
1024,67,,0.12038689,385057.471
1025,68,,0.12180874,390804.598
1026,69,,0.12686165,396551.724
1027,70,,0.122133225,402298.851
1028,71,,0.11005575,408045.977
1029,72,,0.10753812,413793.103
1030,73,,0.10764402,419540.23
1031,74,,0.1039168,425287.356
1032,75,,0.10728763,431034.483
1033,76,,0.11494541,436781.609
1034,77,,0.10948745,442528.736
1035,78,,0.10833904,448275.862
1036,79,,0.108290404,454022.989
1037,80,,0.09766709,459770.115
1038,81,,0.10412394,465517.241
1039,82,,0.10815821,471264.368
1040,83,,0.11741673,477011.494
1041,84,,0.13317685,482758.621
1042,85,,0.16419184,488505.747
1043,86,,0.21301219,494252.874
1044,0,,0.34709737,0.0
1045,1,,0.26898524,5747.126
1046,2,,0.22341084,11494.253
1047,3,,0.19487742,17241.379
1048,4,,0.1714467,22988.506
1049,5,,0.16591398,28735.632
1050,6,,0.16398284,34482.759
1051,7,,0.16002648,40229.885
1052,8,,0.1560815,45977.011
1053,9,,0.1607328,51724.138
1054,10,,0.15029602,57471.264
1055,11,,0.14697464,63218.391
1056,12,,0.14038289,68965.517
1057,13,,0.13441573,74712.644
1058,14,,0.12684432,80459.77
1059,15,,0.12174747,86206.897
